"abbreviation" "locality" "genus" "species" "replicate" "sex" "preservation" "source" "sgMax" "sgfwhm" "error"
"51" "M_SVU" "Belize" "Maristella" "Maristella_SVU" "SVU3" "male" "live" "ucsb" 459.92701 77.99256 0.0027
"52" "M_SVU" "Belize" "Maristella" "Maristella_SVU" "SVU4" "male" "live" "ucsb" 460.47552 79.09791 0.0027
"53" "M_SVU" "Belize" "Maristella" "Maristella_SVU" "SVU5" "male" "live" "ucsb" 459.92701 79.09791 0.0028
"54" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH1" "male" "live" "ucsb" 466.18542 75.74981 0.0093
"55" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH2" "male" "live" "ucsb" 466.18542 75.74566 0.0801
"56" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH3" "male" "live" "ucsb" 465.63287 76.3048199999999 0.0148
"57" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH4" "male" "live" "ucsb" 467.84327 75.2072 0.0586
"58" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH5" "male" "live" "ucsb" 466.73801 77.41919 0.004
"59" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH6" "male" "live" "ucsb" 465.63287 77.41493 0.0037
"60" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH7" "male" "live" "ucsb" 464.52785 76.30901 0.0027
"61" "P_GPH" "Roatan" "Photeros" "Photeros_GPH" "GPH8" "male" "live" "ucsb" 465.08035 77.42343 0.006
"62" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU1" "male" "live" "ucsb" 466.18542 79.0803299999999 0.0031
"63" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU2" "male" "live" "ucsb" 463.97539 77.41069 0.0034
"64" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU3" "male" "live" "ucsb" 466.18542 78.52087 0.0025
"65" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU4" "male" "live" "ucsb" 464.52785 78.52087 0.0024
"66" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU5" "male" "live" "ucsb" 466.73801 80.1907499999999 0.0032
"67" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU6" "male" "live" "ucsb" 465.63287 77.96576 0.0025
"68" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU7" "male" "dried" "ucsb" 466.73801 78.5251699999999 0.0304
"69" "P_WLU" "Roatan" "Photeros" "Photeros_WLU" "WLU8" "male" "dried" "ucsb" 468.39594 81.8655900000001 0.0073
"70" "LSD" "Roatan" "Maristella" "LSD" "LSD1" "male" "live" "ucsb" 459.37856 80.18954 0.0153
"71" "LSD" "Roatan" "Maristella" "LSD" "LSD2" "male" "live" "ucsb" 459.92701 79.07732 0.0295
"72" "IR" "Roatan" "Maristella" "IR" "IR1" "male" "dead" "ucsb" 459.55678 75.7124 0.0026
"73" "IR" "Roatan" "Maristella" "IR" "IR2" "male" "dead" "ucsb" 459.55678 76.8219 0.0028
"74" "IR" "Roatan" "Maristella" "IR" "IR3" "male" "live" "ucsb" 466.73801 83.4586 0.1337
"75" "IR" "Roatan" "Maristella" "IR" "IR4" "male" "dead" "ucsb" 459.55678 74.60301 0.0073
"76" "IR" "Roatan" "Maristella" "IR" "IR5" "male" "dead" "ucsb" 462.31818 77.93153 0.011
"77" "IR" "Roatan" "Maristella" "IR" "IR6" "male" "dead" "ucsb" 462.31818 75.7124 0.0145
"78" "RD" "Roatan" "Maristella" "RD" "RD1" "male" "dead" "ucsb" 463.42296 75.7124 0.0179
"79" "RD" "Roatan" "Maristella" "RD" "RD2" "male" "dead" "ucsb" 459.55678 77.3767 0.0127
"80" "RD" "Roatan" "Maristella" "RD" "RD3" "male" "dead" "ucsb" 466.73801 77.9186999999999 0.0986
"81" "RD" "Roatan" "Maristella" "RD" "RD4" "male" "dead" "ucsb" 465.08035 78.48208 0.0259
"82" "RD" "Roatan" "Maristella" "RD" "RD5" "male" "dead" "ucsb" 465.63287 75.15769 0.0356
"83" "DU" "Roatan" "Maristella" "DU" "DU1" "male" "live" "ucsb" 460.109 75.15769 0.0038
"84" "DU" "Roatan" "Maristella" "DU" "DU2" "male" "live" "ucsb" 459.55678 75.15769 0.0034
"85" "DU" "Roatan" "Maristella" "DU" "DU3" "male" "live" "ucsb" 457.3482 75.7124 0.0032
"86" "DU" "Roatan" "Maristella" "DU" "DU4" "male" "live" "ucsb" 458.45243 73.49374 0.0071
"87" "DU" "Roatan" "Maristella" "DU" "DU5" "male" "live" "ucsb" 459.55678 75.7124 0.0034
"88" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu1" "female" "live" "ucsb" 462.12132 74.14464 0.0069
"89" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu2" "female" "live" "ucsb" 461.02407 74.6971 0.0024
"90" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu3" "female" "live" "ucsb" 462.12132 74.1382 0.0067
"91" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu4" "male" "live" "ucsb" 458.83015 74.14464 0.0032
"92" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu5" "male" "live" "ucsb" 459.92701 74.14464 0.0025
"93" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu6" "male" "live" "ucsb" 459.92701 73.03352 0.0055
"94" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu7" "male" "live" "ucsb" 459.92701 75.24961 0.0024
"95" "V_tsu" "CA_USA" "Fred" "Vargula_tsujii" "Vtsu8" "male" "live" "ucsb" 461.02407 74.6971 0.0056
"96" "K_WCU" "PR_USA" "Kornickeria" "Kornickeria_WCU" "WCU1" "male" "live" "ucsb" 462.12132 81.77689 0.1363
"97" "K_WCU" "PR_USA" "Kornickeria" "Kornickeria_WCU" "WCU2" "male" "live" "ucsb" 458.83015 79.07046 0.034
"98" "K_WCU" "PR_USA" "Kornickeria" "Kornickeria_WCU" "WCU3" "male" "live" "ucsb" 463.21875 82.35791 0.0841
"99" "K_WCU" "PR_USA" "Kornickeria" "Kornickeria_WCU" "WCU5" "male" "live" "ucsb" 450.06208 74.08672 0.084
"100" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU1" "male" "live" "ucsb" 457.1852 76.8874 0.0224
