Wavelength(nm),Var#1(21sec)
438.75,1.93E+10
439.143,1.96E+10
439.537,1.99E+10
439.93,2.00E+10
440.323,2.04E+10
440.716,2.05E+10
441.109,2.07E+10
441.502,2.04E+10
441.895,2.11E+10
442.288,2.16E+10
442.68,2.10E+10
443.073,2.17E+10
443.466,2.18E+10
443.859,2.21E+10
444.252,2.24E+10
444.644,2.23E+10
445.037,2.26E+10
445.43,2.30E+10
445.823,2.31E+10
446.215,2.27E+10
446.608,2.31E+10
447,2.33E+10
447.393,2.35E+10
447.786,2.35E+10
448.178,2.36E+10
448.571,2.37E+10
448.964,2.38E+10
449.356,2.39E+10
449.749,2.40E+10
450.141,2.42E+10
450.534,2.43E+10
450.927,2.42E+10
451.319,2.44E+10
451.712,2.45E+10
452.104,2.45E+10
452.497,2.44E+10
452.889,2.45E+10
453.282,2.48E+10
453.675,2.51E+10
454.067,2.52E+10
454.46,2.49E+10
454.852,2.54E+10
455.245,2.52E+10
455.638,2.53E+10
456.03,2.52E+10
456.423,2.54E+10
456.815,2.53E+10
457.208,2.53E+10
457.601,2.53E+10
457.993,2.51E+10
458.386,2.53E+10
458.779,2.55E+10
459.172,2.53E+10
459.564,2.54E+10
459.957,2.58E+10
460.35,2.57E+10
460.742,2.55E+10
461.135,2.56E+10
461.528,2.56E+10
461.921,2.52E+10
462.314,2.56E+10
462.706,2.53E+10
463.099,2.56E+10
463.492,2.56E+10
463.885,2.55E+10
464.278,2.54E+10
464.671,2.52E+10
465.064,2.54E+10
465.457,2.53E+10
465.849,2.53E+10
466.242,2.51E+10
466.635,2.52E+10
467.028,2.52E+10
467.421,2.49E+10
467.814,2.50E+10
468.207,2.53E+10
468.6,2.48E+10
468.994,2.51E+10
469.387,2.46E+10
469.78,2.52E+10
470.173,2.44E+10
470.566,2.49E+10
470.959,2.45E+10
471.352,2.44E+10
471.745,2.44E+10
472.139,2.41E+10
472.532,2.37E+10
472.925,2.42E+10
473.318,2.40E+10
473.712,2.38E+10
474.105,2.38E+10
474.498,2.35E+10
474.891,2.35E+10
475.285,2.38E+10
475.678,2.31E+10
476.071,2.30E+10
476.465,2.33E+10
476.858,2.31E+10
477.252,2.29E+10
477.645,2.27E+10
478.038,2.26E+10
478.432,2.24E+10
478.825,2.20E+10
479.219,2.24E+10
479.612,2.21E+10
480.006,2.21E+10
480.399,2.19E+10
480.793,2.17E+10
481.186,2.14E+10
481.58,2.13E+10
481.973,2.13E+10
482.367,2.09E+10
482.76,2.11E+10
483.154,2.08E+10
483.547,2.08E+10
483.941,2.08E+10
484.335,2.06E+10
484.728,2.01E+10
485.122,2.03E+10
485.515,1.99E+10
485.909,1.99E+10
486.303,1.99E+10
486.696,1.96E+10
487.09,1.94E+10
487.483,1.93E+10
487.877,1.93E+10
488.271,1.91E+10
488.664,1.88E+10
489.058,1.87E+10
489.452,1.87E+10
489.845,1.85E+10
490.239,1.82E+10
490.633,1.82E+10
491.026,1.80E+10
491.42,1.78E+10
491.814,1.80E+10
492.207,1.77E+10
492.601,1.74E+10
492.995,1.73E+10
493.388,1.71E+10
493.782,1.70E+10
494.176,1.70E+10
494.569,1.68E+10
494.963,1.67E+10
495.357,1.64E+10
495.75,1.65E+10
496.144,1.65E+10
496.538,1.62E+10
496.931,1.60E+10
497.325,1.58E+10
497.719,1.59E+10
498.112,1.55E+10
498.506,1.54E+10
498.899,1.52E+10
499.293,1.51E+10
499.687,1.51E+10
500.08,1.48E+10
500.474,1.48E+10
500.867,1.47E+10
501.261,1.45E+10
501.654,1.47E+10
502.048,1.44E+10
502.442,1.43E+10
502.835,1.41E+10
503.229,1.40E+10
503.622,1.39E+10
504.016,1.37E+10
504.409,1.37E+10
504.802,1.33E+10
505.196,1.34E+10
505.589,1.32E+10
505.983,1.32E+10
506.376,1.30E+10
506.77,1.29E+10
507.163,1.28E+10
507.556,1.26E+10
507.95,1.27E+10
508.343,1.25E+10
508.736,1.23E+10
509.129,1.22E+10
509.523,1.19E+10
509.916,1.21E+10
510.309,1.18E+10
510.702,1.16E+10
511.096,1.16E+10
511.489,1.14E+10
511.882,1.13E+10
512.275,1.12E+10
512.668,1.12E+10
513.061,1.10E+10
513.454,1.09E+10
513.847,1.08E+10
514.24,1.07E+10
514.633,1.05E+10
515.026,1.05E+10
515.419,1.05E+10
515.812,1.04E+10
516.205,1.03E+10
516.598,1.02E+10
516.991,1.00E+10
517.384,1.00E+10
517.776,9.88E+09
518.169,9.74E+09
518.562,9.64E+09
518.955,9.59E+09
519.347,9.42E+09
519.74,9.32E+09
520.133,9.32E+09
520.525,9.25E+09
520.918,9.17E+09
521.31,8.99E+09
521.703,8.84E+09
522.095,8.67E+09
522.488,8.69E+09
522.88,8.60E+09
523.272,8.55E+09
523.665,8.49E+09
524.057,8.34E+09
524.449,8.18E+09
524.842,8.14E+09
525.234,8.10E+09
525.626,8.00E+09
526.018,7.85E+09
526.41,7.90E+09
526.803,7.75E+09
527.195,7.52E+09
527.587,7.52E+09
527.979,7.52E+09
528.371,7.36E+09
528.763,7.31E+09
529.154,7.42E+09
529.546,7.26E+09
529.938,7.13E+09
530.33,7.03E+09
530.722,6.99E+09
531.113,6.89E+09
