Wavelength(nm),Var#1(21sec)
888.726,5.00E+08
889.099,4.93E+08
889.473,6.93E+08
889.846,6.99E+08
890.219,7.97E+08
890.591,7.05E+08
890.963,8.78E+08
891.335,5.29E+08
891.706,6.15E+08
892.077,4.57E+08
892.448,5.18E+08
892.818,5.16E+08
893.188,5.64E+08
893.558,6.49E+08
893.927,5.79E+08
894.296,6.54E+08
894.664,6.06E+08
895.032,4.55E+08
895.399,7.63E+08
895.766,3.93E+08
896.133,9.34E+08
896.499,6.45E+08
896.864,6.76E+08
897.229,5.57E+08
897.594,6.07E+08
897.958,5.39E+08
898.322,6.58E+08
898.685,4.26E+08
899.047,6.01E+08
899.409,5.43E+08
899.771,5.53E+08
900.131,7.24E+08
900.492,5.93E+08
900.851,3.63E+08
901.211,5.46E+08
901.569,3.73E+08
901.927,7.42E+08
902.284,8.23E+08
902.641,6.03E+08
902.997,4.78E+08
903.352,7.29E+08
903.707,6.24E+08
904.06,4.60E+08
904.414,4.74E+08
904.766,4.17E+08
905.118,5.29E+08
905.469,5.25E+08
905.819,2.61E+08
906.169,5.16E+08
906.517,5.64E+08
906.865,6.86E+08
907.213,6.48E+08
907.559,5.91E+08
907.904,6.56E+08
908.249,6.26E+08
908.593,5.38E+08
908.936,7.59E+08
909.278,6.79E+08
909.619,3.54E+08
909.959,4.47E+08
910.298,4.27E+08
910.637,4.98E+08
910.974,5.78E+08
911.31,4.92E+08
911.646,5.23E+08
911.98,5.03E+08
912.314,6.97E+08
912.646,5.43E+08
912.977,2.81E+08
913.307,5.48E+08
913.637,6.22E+08
913.965,6.96E+08
914.291,5.07E+08
914.617,4.76E+08
914.942,3.61E+08
915.265,4.08E+08
915.588,5.51E+08
915.909,2.77E+08
