species,genefamily,construct,year,date,flo,light,suspect,signal,media,substrate,dilution
SVU,pproto,SVU_86,13,6/7/13,22031,10489,no,yes,50,50,10
SVU,pproto,SVU_86,13,6/7/13,28383,1239,no,yes,50,50,1
SVU,pproto,SVU_86,13,6/7/13,22031,1838,no,yes,50,50,1
SVU,pproto,SVU_86,13,6/7/13,28383,21627,no,yes,50,50,20
SVU,pproto,SVU_86,13,6/7/13,22031,22681,no,yes,50,50,20
SVU,pproto,SVU_86,13,6/7/13,28383,4699,no,yes,50,50,5
SVU,pproto,SVU_86,13,6/7/13,22031,5587,no,yes,50,50,5
SVU,pproto,SVU_86,13,6/11/13,33131,17263,no,yes,50,50,20
SVU,pproto,SVU_86,13,6/11/13,32356,16707,no,yes,50,50,20
SVU,secreted-proto,SVU_99,13,5/10/13,188437,5290,no,no,100,50,5
SVU,secreted-proto,SVU_99,13,5/20/13,379296,2734,no,no,100,50,5
SVU,secreted-proto,SVU_99,13,5/29/13,483723,26708,no,no,100,100,20
SVU,secreted-proto,SVU_99,13,6/7/13,206914,7263,no,no,50,50,10
SVU,secreted-proto,SVU_99,13,6/7/13,42771,15265,no,no,50,50,10
SVU,secreted-proto,SVU_99,13,6/7/13,45831,16204,no,no,50,50,10
SVU,secreted-proto,SVU_99,13,6/7/13,206914,727,no,no,50,50,1
SVU,secreted-proto,SVU_99,13,6/7/13,45831,2176,no,no,50,50,1
SVU,secreted-proto,SVU_99,13,6/7/13,42771,2972,no,no,50,50,1
SVU,secreted-proto,SVU_99,13,6/7/13,206914,17529,no,no,50,50,20
SVU,secreted-proto,SVU_99,13,6/7/13,42771,24701,no,no,50,50,20
SVU,secreted-proto,SVU_99,13,6/7/13,45831,27783,no,no,50,50,20
SVU,secreted-proto,SVU_99,13,6/7/13,206914,3483,no,no,50,50,5
SVU,secreted-proto,SVU_99,13,6/7/13,45831,8525,no,no,50,50,5
SVU,secreted-proto,SVU_99,13,6/7/13,42771,9558,no,no,50,50,5
SVU,secreted-proto,SVU_99,13,6/11/13,46767,25582,no,no,50,50,20
SVU,secreted-proto,SVU_99,13,6/11/13,46115,28326,no,no,50,50,20
Vargula_tsujii,luciferase,VtLa,13,5/10/13,47854,282014,no,yes,100,50,5
Vargula_tsujii,luciferase,VtLa,13,5/20/13,45280,163057,no,yes,100,50,5
Vargula_tsujii,luciferase,VtLa,13,5/23/13,54754,64765,no,yes,100,100,0.5
Vargula_tsujii,luciferase,VtLa,13,5/23/13,54754,981435,no,yes,100,100,10
Vargula_tsujii,luciferase,VtLa,13,5/23/13,54754,95815,no,yes,100,100,1
Vargula_tsujii,luciferase,VtLa,13,5/23/13,54754,141541,no,yes,100,100,2
Vargula_tsujii,luciferase,VtLa,13,5/23/13,54754,516464,no,yes,100,100,5
Vargula_tsujii,luciferase,VtLa,13,5/29/13,59190,608632,no,yes,100,100,20
Vargula_tsujii,luciferase,VtLa,13,6/7/13,35364,538696,no,yes,50,50,10
Vargula_tsujii,luciferase,VtLa,13,6/7/13,35364,58019,no,yes,50,50,1
Vargula_tsujii,luciferase,VtLa,13,6/7/13,35364,1165405,no,yes,50,50,20
Vargula_tsujii,luciferase,VtLa,13,6/7/13,35364,301263,no,yes,50,50,5
