species,genefamily,construct,year,date,flo,light,suspect,signal,media,substrate,dilution
NA,blank,Blank,14,4/1/14,27578,5740,no,no,100,50,20
NA,blank,Blank,14,4/1/14,28886,6949,no,no,100,50,20
NA,blank,Blank,14,4/1/14,29665,10125.5,no,no,100,50,20
NA,blank,Blank,14,4/8/14,23682,4641,no,no,100,50,20
NA,blank,Blank,14,4/8/14,23251,5168,no,no,100,50,20
NA,blank,Blank,14,4/8/14,22890,4494,no,no,100,50,20
NA,blank,Blank,14,4/25/14,27964,4738,no,no,100,50,20
NA,blank,Blank,14,4/25/14,28683,6062,no,no,100,50,20
NA,blank,Blank,14,4/25/14,28256,5953,no,no,100,50,20
NA,mc,mC,14,4/25/14,136801,7802,no,no,100,50,20
NA,mc,mC,14,4/25/14,132416,9067,no,no,100,50,20
NA,mc,mC,14,4/25/14,76466,9007,no,no,100,50,20
NA,hek,HEK,14,4/25/14,53521,5548,no,no,100,50,20
NA,hek,HEK,14,4/25/14,48374,4831,no,no,100,50,20
NA,hek,HEK,14,4/25/14,52856,4462,no,no,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/1/14,201695,1483380,no,yes,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/1/14,200447,1443576,no,yes,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/1/14,205374,1853511.4,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/1/14,222531,37076,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/1/14,183817,37664,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/1/14,190254,75095.7,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/8/14,167073,62760,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/8/14,146129,50025,no,yes,100,50,20
Photeros_morini,luciferase,PhM,14,4/8/14,131064,36135,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/1/14,206422,837129,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/1/14,239738,874431,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/1/14,205293,1329036.1,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/8/14,146322,2080797,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/8/14,131945,2652032,no,yes,100,50,20
SVU,luciferase,SVUluc,14,4/8/14,163401,2111568,no,yes,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/25/14,52469,2690100,yes,yes,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/25/14,55416,1577330,yes,yes,100,50,20
Vargula_tsujii,luciferase,VtLa,14,4/25/14,52401,876302,yes,yes,100,50,20
NA,mc,mC,14,4/1/14,234607,14334,yes,no,100,50,20
NA,mc,mC,14,4/1/14,202660,15971,yes,no,100,50,20
NA,mc,mC,14,4/1/14,213518,21472.5,yes,no,100,50,20
Vargula_tsujii,luciferase,VtLb,14,4/1/14,203548,10595,yes,yes,100,50,20
Vargula_tsujii,luciferase,VtLb,14,4/1/14,198663,12834,yes,yes,100,50,20
Vargula_tsujii,luciferase,VtLb,14,4/1/14,196452,15847.7,yes,yes,100,50,20
Vargula_hilgendorfii,luciferase,VhL,14,4/1/14,180300,6853,yes,yes,100,50,20
Vargula_hilgendorfii,luciferase,VhL,14,4/1/14,162797,9527,yes,yes,100,50,20
Vargula_hilgendorfii,luciferase,VhL,14,4/1/14,183213,14133.5,yes,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/1/14,336521,9807.2,no,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/1/14,549516,10138.5,no,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/1/14,593293,14258.4,no,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/8/14,713853,14399,yes,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/8/14,874678,14489,yes,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/8/14,837356,12340,yes,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/25/14,196703,15176.3,no,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/25/14,187780,12548.6,no,yes,100,50,20
SVU,secreted-proto,SVUspluc,14,4/25/14,209943,10451.6,no,yes,100,50,20
SVU,pproto,SVUpluca,14,4/1/14,229562,5202.9,no,no,100,50,20
SVU,pproto,SVUpluca,14,4/1/14,181545,6925.6,no,no,100,50,20
SVU,pproto,SVUpluca,14,4/1/14,203416,10153.5,no,no,100,50,20
SVU,pproto,SVUpluca,14,4/8/14,158029,10207,no,no,100,50,20
SVU,pproto,SVUpluca,14,4/8/14,177525,7549,no,no,100,50,20
SVU,pproto,SVUpluca,14,4/8/14,153957,7595,no,no,100,50,20
SVU,pproto,SVUplucb,14,4/1/14,202208,6300.7,no,yes,100,50,20
SVU,pproto,SVUplucb,14,4/1/14,197587,6735,no,yes,100,50,20
SVU,pproto,SVUplucb,14,4/1/14,199323,11378.6,no,yes,100,50,20
SVU,pproto,SVUplucb,14,4/8/14,155668,8646,no,yes,100,50,20
SVU,pproto,SVUplucb,14,4/8/14,153058,7441,no,yes,100,50,20
SVU,pproto,SVUplucb,14,4/8/14,160504,6923,no,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/1/14,200191,7208.2,yes,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/1/14,227369,7611.7,yes,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/1/14,193445,13431.1,yes,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/8/14,168724,7094,yes,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/8/14,143629,9962,yes,yes,100,50,20
Photeros_annecohenae,luciferase,PhA,14,4/8/14,156661,6106,yes,yes,100,50,20
NA,blank,Blank,13,5/10/13,20891,5806,no,no,100,50,5
NA,blank,Blank,13,5/20/13,22093,5077,no,no,100,50,5
NA,blank,Blank,13,5/23/13,23093,1456,no,no,100,100,0.5
NA,blank,Blank,13,5/23/13,23093,18171,no,no,100,100,10
NA,blank,Blank,13,5/23/13,23093,2030,no,no,100,100,1
NA,blank,Blank,13,5/23/13,23093,4541,no,no,100,100,2
NA,blank,Blank,13,5/23/13,23093,10912,no,no,100,100,5
NA,blank,Blank,13,5/29/13,25171,18484,no,no,100,100,20
NA,blank,Blank,13,6/7/13,24093,7285,no,no,50,50,10
NA,blank,Blank,13,6/7/13,24093,1816,no,no,50,50,1
NA,blank,Blank,13,6/7/13,24093,12411,no,no,50,50,20
NA,blank,Blank,13,6/7/13,24093,3811,no,no,50,50,5
NA,blank,Blank,13,6/11/13,22581,11192,no,no,50,50,20
NA,blank,Blank,13,6/11/13,24033,11471,no,no,50,50,20
NA,hek,HEK,13,6/7/13,180940,10875,no,no,50,50,10
NA,hek,HEK,13,6/7/13,50764,12280,no,no,50,50,10
NA,hek,HEK,13,6/7/13,61622,12406,no,no,50,50,10
NA,hek,HEK,13,6/7/13,61622,1811,no,no,50,50,1
NA,hek,HEK,13,6/7/13,180940,1894,no,no,50,50,1
NA,hek,HEK,13,6/7/13,50764,2199,no,no,50,50,1
NA,hek,HEK,13,6/7/13,180940,19146,no,no,50,50,20
NA,hek,HEK,13,6/7/13,50764,20910,no,no,50,50,20
NA,hek,HEK,13,6/7/13,61622,22478,no,no,50,50,20
NA,hek,HEK,13,6/7/13,180940,5666,no,no,50,50,5
NA,hek,HEK,13,6/7/13,61622,7201,no,no,50,50,5
NA,hek,HEK,13,6/7/13,50764,7418,no,no,50,50,5
NA,hek,HEK,13,6/11/13,45999,18289,no,no,50,50,20
NA,hek,HEK,13,6/11/13,49786,18583,no,no,50,50,20
Photeros_morini,luciferase,PhM,13,5/10/13,48378,8799,no,yes,100,50,5
Photeros_morini,luciferase,PhM,13,5/20/13,48244,8002,no,yes,100,50,5
Photeros_morini,luciferase,PhM,13,5/23/13,54540,1804,no,yes,100,100,0.5
Photeros_morini,luciferase,PhM,13,5/23/13,54540,31677,no,yes,100,100,10
Photeros_morini,luciferase,PhM,13,5/23/13,54540,2629,no,yes,100,100,1
Photeros_morini,luciferase,PhM,13,5/23/13,54540,4649,no,yes,100,100,2
Photeros_morini,luciferase,PhM,13,5/23/13,54540,14856,no,yes,100,100,5
Photeros_morini,luciferase,PhM,13,5/29/13,67903,34503,no,yes,100,100,20
Photeros_morini,luciferase,PhM,13,6/7/13,32826,16826,no,yes,50,50,10
Photeros_morini,luciferase,PhM,13,6/7/13,32826,1771,no,yes,50,50,1
Photeros_morini,luciferase,PhM,13,6/7/13,32826,39970,no,yes,50,50,20
Photeros_morini,luciferase,PhM,13,6/7/13,32826,7843,no,yes,50,50,5
Photeros_morini,luciferase,PhM,13,6/11/13,32161,37518,no,yes,50,50,20
Photeros_morini,luciferase,PhM,13,6/11/13,33693,39695,no,yes,50,50,20
SVU,pproto,SVU_86,13,5/10/13,44545,4738,no,yes,100,50,5
SVU,pproto,SVU_86,13,5/20/13,43850,2343,no,yes,100,50,5
SVU,pproto,SVU_86,13,5/29/13,62328,22128,no,yes,100,100,20
SVU,pproto,SVU_86,13,6/7/13,28383,10041,no,yes,50,50,10
