"","date","date_R","Species","type","Replicate","sample","count_type","cps","Concentration","Device","OD","Spin","fraction","pH","cps_norm","ID"
"446","26-Apr-19","4/26/19","Pichia","positive",2,76,"before",476,4.42,"plate_reader",NA,"After","supernatant",NA,107.692307692308,"Pichiapositive2"
"448","26-Apr-19","4/26/19","Pichia","positive",3,76,"before",472,4.42,"plate_reader",NA,"After","supernatant",NA,106.787330316742,"Pichiapositive3"
"467","26-Apr-19","4/26/19","SVU","positive",1,83,"before",446,3.66,"plate_reader",NA,"After","supernatant",NA,121.857923497268,"SVUpositive1"
"468","26-Apr-19","4/26/19","SVU","positive",1,84,"before",444,26,"plate_reader",NA,"After","supernatant",NA,17.0769230769231,"SVUpositive1"
"469","26-Apr-19","4/26/19","SVU","positive",2,83,"before",467,3.66,"plate_reader",NA,"After","supernatant",NA,127.595628415301,"SVUpositive2"
"470","26-Apr-19","4/26/19","SVU","positive",2,84,"before",483,26,"plate_reader",NA,"After","supernatant",NA,18.5769230769231,"SVUpositive2"
"471","26-Apr-19","4/26/19","SVU","positive",3,83,"before",471,3.66,"plate_reader",NA,"After","supernatant",NA,128.688524590164,"SVUpositive3"
"472","26-Apr-19","4/26/19","SVU","positive",3,84,"before",431,26,"plate_reader",NA,"After","supernatant",NA,16.5769230769231,"SVUpositive3"
"475","20-May-19","5/20/19","CNO","positive",1,87,"before",509,4.56,"plate_reader",NA,"After","supernatant",NA,111.622807017544,"CNOpositive1"
"478","20-May-19","5/20/19","CNO","positive",2,87,"before",471,4.56,"plate_reader",NA,"After","supernatant",NA,103.289473684211,"CNOpositive2"
"481","20-May-19","5/20/19","CNO","positive",3,87,"before",466,4.56,"plate_reader",NA,"After","supernatant",NA,102.19298245614,"CNOpositive3"
"508","20-May-19","5/20/19","Pichia","positive",1,98,"before",514,4.29,"plate_reader",NA,"After","supernatant",NA,119.81351981352,"Pichiapositive1"
"511","20-May-19","5/20/19","Pichia","positive",2,98,"before",468,4.29,"plate_reader",NA,"After","supernatant",NA,109.090909090909,"Pichiapositive2"
"514","20-May-19","5/20/19","Pichia","positive",3,98,"before",453,4.29,"plate_reader",NA,"After","supernatant",NA,105.594405594406,"Pichiapositive3"
"536","20-May-19","5/20/19","SVU","positive",1,108,"before",478,2.47,"plate_reader",NA,"After","supernatant",NA,193.522267206478,"SVUpositive1"
"537","20-May-19","5/20/19","SVU","positive",1,109,"before",475,2.97,"plate_reader",NA,"After","supernatant",NA,159.93265993266,"SVUpositive1"
"542","20-May-19","5/20/19","SVU","positive",2,108,"before",506,2.47,"plate_reader",NA,"After","supernatant",NA,204.858299595142,"SVUpositive2"
"543","20-May-19","5/20/19","SVU","positive",2,109,"before",490,2.97,"plate_reader",NA,"After","supernatant",NA,164.983164983165,"SVUpositive2"
"548","20-May-19","5/20/19","SVU","positive",3,108,"before",456,2.47,"plate_reader",NA,"After","supernatant",NA,184.615384615385,"SVUpositive3"
"549","20-May-19","5/20/19","SVU","positive",3,109,"before",423,2.97,"plate_reader",NA,"After","supernatant",NA,142.424242424242,"SVUpositive3"
