379.25819	768	758	759	749	745	745	745	747	737	739	
379.80598	768	760	751	752	746	751	750	743	742	748	
380.3538	757	757	752	749	744	749	748	744	740	747	
380.90165	763	761	759	750	750	752	746	749	737	747	
381.44954	766	761	753	757	752	758	743	740	747	745	
381.99745	762	764	756	753	749	747	750	744	743	739	
382.54539	766	756	751	749	743	745	747	749	747	744	
383.09336	768	754	756	753	746	742	741	743	746	750	
383.64136	762	764	752	752	747	756	743	747	743	738	
384.1894	770	760	760	747	756	740	751	745	743	743	
384.73746	762	770	759	745	748	740	745	733	747	750	
385.28556	762	760	753	750	749	749	755	752	742	740	
385.83368	760	767	756	752	754	749	746	745	742	750	
386.38183	777	761	762	755	747	746	740	750	748	753	
386.93002	767	760	757	753	752	752	745	751	741	750	
387.47823	774	755	759	752	746	747	752	755	749	742	
388.02648	767	757	752	756	755	750	745	746	749	741	
388.57476	777	767	765	753	743	747	747	748	752	745	
389.12306	774	767	758	755	747	748	750	746	740	737	
389.6714	776	767	762	752	746	754	745	741	745	744	
390.21977	775	772	764	757	751	751	749	751	747	754	
390.76816	774	763	759	758	752	752	753	751	745	747	
391.31659	781	767	760	756	746	751	749	752	749	750	
391.86505	781	766	763	756	749	754	748	750	756	743	
392.41354	787	769	761	756	755	756	755	746	744	754	
392.96206	790	777	762	759	765	755	749	756	750	748	
393.51061	785	780	767	767	754	751	748	756	752	746	
394.05919	787	774	771	763	741	754	751	751	750	750	
394.60779	787	767	772	757	751	755	748	749	750	749	
395.15643	799	778	768	774	761	759	764	749	751	747	
395.70511	796	778	767	770	754	754	752	758	748	751	
396.25381	795	791	776	761	770	753	753	756	747	753	
396.80254	791	792	771	767	757	758	754	753	755	753	
397.3513	812	792	780	779	764	767	765	764	761	758	
397.90009	800	785	787	774	767	764	752	755	756	758	
398.44891	798	801	778	771	764	763	758	754	754	758	
398.99776	802	800	779	784	763	759	759	756	756	745	
399.54665	821	793	784	765	757	772	763	766	763	753	
400.09556	837	800	782	780	771	771	757	761	756	759	
